Id_passageiro,Sobrevivente,Classe,Sexo,Sexo (Nominal),Idade,Irmaos_conjunges,Pais_Filhos,Bilhete,Cabine,Porto_embarque,Porto_embarque (Ordinal)
8,0,3,Masculino,1,2.0,3,1,349909,Nao identificado,S,3.0
11,1,3,Feminino,2,4.0,1,1,PP 9549,G6,S,3.0
17,0,3,Masculino,1,2.0,4,1,382652,Nao identificado,Q,2.0
25,0,3,Feminino,2,8.0,3,1,349909,Nao identificado,S,3.0
44,1,2,Feminino,2,3.0,1,2,SC/Paris 2123,Nao identificado,C,1.0
51,0,3,Masculino,1,7.0,4,1,3101295,Nao identificado,S,3.0
59,1,2,Feminino,2,5.0,1,2,C.A. 34651,Nao identificado,S,3.0
64,0,3,Masculino,1,4.0,3,2,347088,Nao identificado,S,3.0
79,1,2,Masculino,1,0.83,0,2,248738,Nao identificado,S,3.0
120,0,3,Feminino,2,2.0,4,2,347082,Nao identificado,S,3.0
148,0,3,Feminino,2,9.0,2,2,W./C. 6608,Nao identificado,S,3.0
165,0,3,Masculino,1,1.0,4,1,3101295,Nao identificado,S,3.0
166,1,3,Masculino,1,9.0,0,2,363291,Nao identificado,S,3.0
172,0,3,Masculino,1,4.0,4,1,382652,Nao identificado,Q,2.0
173,1,3,Feminino,2,1.0,1,1,347742,Nao identificado,S,3.0
183,0,3,Masculino,1,9.0,4,2,347077,Nao identificado,S,3.0
184,1,2,Masculino,1,1.0,2,1,230136,F4,S,3.0
185,1,3,Feminino,2,4.0,0,2,315153,Nao identificado,S,3.0
194,1,2,Masculino,1,3.0,1,1,230080,F2,S,3.0
206,0,3,Feminino,2,2.0,0,1,347054,G6,S,3.0
234,1,3,Feminino,2,5.0,4,2,347077,Nao identificado,S,3.0
238,1,2,Feminino,2,8.0,0,2,C.A. 31921,Nao identificado,S,3.0
262,1,3,Masculino,1,3.0,4,2,347077,Nao identificado,S,3.0
279,0,3,Masculino,1,7.0,4,1,382652,Nao identificado,Q,2.0
298,0,1,Feminino,2,2.0,1,2,113781,C22 C26,S,3.0
306,1,1,Masculino,1,0.92,1,2,113781,C22 C26,S,3.0
341,1,2,Masculino,1,2.0,1,1,230080,F2,S,3.0
349,1,3,Masculino,1,3.0,1,1,C.A. 37671,Nao identificado,S,3.0
375,0,3,Feminino,2,3.0,3,1,349909,Nao identificado,S,3.0
382,1,3,Feminino,2,1.0,0,2,2653,Nao identificado,C,1.0
387,0,3,Masculino,1,1.0,5,2,CA 2144,Nao identificado,S,3.0
408,1,2,Masculino,1,3.0,1,1,29106,Nao identificado,S,3.0
446,1,1,Masculino,1,4.0,0,2,33638,A34,S,3.0
449,1,3,Feminino,2,5.0,2,1,2666,Nao identificado,C,1.0
470,1,3,Feminino,2,0.75,2,1,2666,Nao identificado,C,1.0
480,1,3,Feminino,2,2.0,0,1,3101298,Nao identificado,S,3.0
481,0,3,Masculino,1,9.0,5,2,CA 2144,Nao identificado,S,3.0
490,1,3,Masculino,1,9.0,1,1,C.A. 37671,Nao identificado,S,3.0
531,1,2,Feminino,2,2.0,1,1,26360,Nao identificado,S,3.0
536,1,2,Feminino,2,7.0,0,2,F.C.C. 13529,Nao identificado,S,3.0
542,0,3,Feminino,2,9.0,4,2,347082,Nao identificado,S,3.0
550,1,2,Masculino,1,8.0,1,1,C.A. 33112,Nao identificado,S,3.0
619,1,2,Feminino,2,4.0,2,1,230136,F4,S,3.0
635,0,3,Feminino,2,9.0,3,2,347088,Nao identificado,S,3.0
643,0,3,Feminino,2,2.0,3,2,347088,Nao identificado,S,3.0
645,1,3,Feminino,2,0.75,2,1,2666,Nao identificado,C,1.0
692,1,3,Feminino,2,4.0,0,1,349256,Nao identificado,C,1.0
721,1,2,Feminino,2,6.0,0,1,248727,Nao identificado,S,3.0
751,1,2,Feminino,2,4.0,1,1,29103,Nao identificado,S,3.0
752,1,3,Masculino,1,6.0,0,1,392096,E121,S,3.0
756,1,2,Masculino,1,0.67,1,1,250649,Nao identificado,S,3.0
778,1,3,Feminino,2,5.0,0,0,364516,Nao identificado,S,3.0
788,0,3,Masculino,1,8.0,4,1,382652,Nao identificado,Q,2.0
789,1,3,Masculino,1,1.0,1,2,C.A. 2315,Nao identificado,S,3.0
804,1,3,Masculino,1,0.42,0,1,2625,Nao identificado,C,1.0
814,0,3,Feminino,2,6.0,4,2,347082,Nao identificado,S,3.0
825,0,3,Masculino,1,2.0,4,1,3101295,Nao identificado,S,3.0
828,1,2,Masculino,1,1.0,0,2,S.C./PARIS 2079,Nao identificado,C,1.0
832,1,2,Masculino,1,0.83,1,1,29106,Nao identificado,S,3.0
851,0,3,Masculino,1,4.0,4,2,347082,Nao identificado,S,3.0
853,0,3,Feminino,2,9.0,1,1,2678,Nao identificado,C,1.0
870,1,3,Masculino,1,4.0,1,1,347742,Nao identificado,S,3.0
