Id_passageiro,Sobrevivente,Classe,Sexo,Sexo (Nominal),Idade,Irmaos_conjunges,Pais_Filhos,Bilhete,Custo_Bilhete,Cabine,Porto_embarque,Porto_embarque (Ordinal)
1,0,3,Masculino,1,22.0,1,0,A/5 21171,7.25,Nao identificado,S,3.0
2,1,1,Feminino,2,38.0,1,0,PC 17599,71.28,C85,C,1.0
3,1,3,Feminino,2,26.0,0,0,STON/O2. 3101282,7.92,Nao identificado,S,3.0
4,1,1,Feminino,2,35.0,1,0,113803,53.1,C123,S,3.0
5,0,3,Masculino,1,35.0,0,0,373450,8.05,Nao identificado,S,3.0
6,0,3,Masculino,1,,0,0,330877,8.46,Nao identificado,Q,2.0
7,0,1,Masculino,1,54.0,0,0,17463,51.86,E46,S,3.0
9,1,3,Feminino,2,27.0,0,2,347742,11.13,Nao identificado,S,3.0
10,1,2,Feminino,2,14.0,1,0,237736,30.07,Nao identificado,C,1.0
12,1,1,Feminino,2,58.0,0,0,113783,26.55,C103,S,3.0
13,0,3,Masculino,1,20.0,0,0,A/5. 2151,8.05,Nao identificado,S,3.0
14,0,3,Masculino,1,39.0,1,5,347082,31.28,Nao identificado,S,3.0
15,0,3,Feminino,2,14.0,0,0,350406,7.85,Nao identificado,S,3.0
16,1,2,Feminino,2,55.0,0,0,248706,16.0,Nao identificado,S,3.0
18,1,2,Masculino,1,,0,0,244373,13.0,Nao identificado,S,3.0
19,0,3,Feminino,2,31.0,1,0,345763,18.0,Nao identificado,S,3.0
20,1,3,Feminino,2,,0,0,2649,7.22,Nao identificado,C,1.0
21,0,2,Masculino,1,35.0,0,0,239865,26.0,Nao identificado,S,3.0
22,1,2,Masculino,1,34.0,0,0,248698,13.0,D56,S,3.0
23,1,3,Feminino,2,15.0,0,0,330923,8.03,Nao identificado,Q,2.0
24,1,1,Masculino,1,28.0,0,0,113788,35.5,A6,S,3.0
26,1,3,Feminino,2,38.0,1,5,347077,31.39,Nao identificado,S,3.0
27,0,3,Masculino,1,,0,0,2631,7.22,Nao identificado,C,1.0
28,0,1,Masculino,1,19.0,3,2,19950,263.0,C23 C25 C27,S,3.0
29,1,3,Feminino,2,,0,0,330959,7.88,Nao identificado,Q,2.0
30,0,3,Masculino,1,,0,0,349216,7.9,Nao identificado,S,3.0
31,0,1,Masculino,1,40.0,0,0,PC 17601,27.72,Nao identificado,C,1.0
32,1,1,Feminino,2,,1,0,PC 17569,146.52,B78,C,1.0
33,1,3,Feminino,2,,0,0,335677,7.75,Nao identificado,Q,2.0
34,0,2,Masculino,1,66.0,0,0,C.A. 24579,10.5,Nao identificado,S,3.0
35,0,1,Masculino,1,28.0,1,0,PC 17604,82.17,Nao identificado,C,1.0
36,0,1,Masculino,1,42.0,1,0,113789,52.0,Nao identificado,S,3.0
37,1,3,Masculino,1,,0,0,2677,7.23,Nao identificado,C,1.0
38,0,3,Masculino,1,21.0,0,0,A./5. 2152,8.05,Nao identificado,S,3.0
39,0,3,Feminino,2,18.0,2,0,345764,18.0,Nao identificado,S,3.0
40,1,3,Feminino,2,14.0,1,0,2651,11.24,Nao identificado,C,1.0
41,0,3,Feminino,2,40.0,1,0,7546,9.48,Nao identificado,S,3.0
42,0,2,Feminino,2,27.0,1,0,11668,21.0,Nao identificado,S,3.0
43,0,3,Masculino,1,,0,0,349253,7.9,Nao identificado,C,1.0
45,1,3,Feminino,2,19.0,0,0,330958,7.88,Nao identificado,Q,2.0
46,0,3,Masculino,1,,0,0,S.C./A.4. 23567,8.05,Nao identificado,S,3.0
