Id_passageiro,Sobrevivente,Classe,Sexo,Sexo (Nominal),Idade,Irmaos_conjunges,Pais_Filhos,Bilhete,Custo_Bilhete,Cabine,Porto_embarque,Porto_embarque (Ordinal)
8,0,3,Masculino,1,2.0,3,1,349909,21.08,Nao identificado,S,3.0
11,1,3,Feminino,2,4.0,1,1,PP 9549,16.7,G6,S,3.0
17,0,3,Masculino,1,2.0,4,1,382652,29.12,Nao identificado,Q,2.0
44,1,2,Feminino,2,3.0,1,2,SC/Paris 2123,41.58,Nao identificado,C,1.0
59,1,2,Feminino,2,5.0,1,2,C.A. 34651,27.75,Nao identificado,S,3.0
64,0,3,Masculino,1,4.0,3,2,347088,27.9,Nao identificado,S,3.0
79,1,2,Masculino,1,1.0,0,2,248738,29.0,Nao identificado,S,3.0
120,0,3,Feminino,2,2.0,4,2,347082,31.28,Nao identificado,S,3.0
165,0,3,Masculino,1,1.0,4,1,3101295,39.69,Nao identificado,S,3.0
172,0,3,Masculino,1,4.0,4,1,382652,29.12,Nao identificado,Q,2.0
173,1,3,Feminino,2,1.0,1,1,347742,11.13,Nao identificado,S,3.0
184,1,2,Masculino,1,1.0,2,1,230136,39.0,F4,S,3.0
185,1,3,Feminino,2,4.0,0,2,315153,22.02,Nao identificado,S,3.0
194,1,2,Masculino,1,3.0,1,1,230080,26.0,F2,S,3.0
206,0,3,Feminino,2,2.0,0,1,347054,10.46,G6,S,3.0
234,1,3,Feminino,2,5.0,4,2,347077,31.39,Nao identificado,S,3.0
262,1,3,Masculino,1,3.0,4,2,347077,31.39,Nao identificado,S,3.0
298,0,1,Feminino,2,2.0,1,2,113781,151.55,C22 C26,S,3.0
306,1,1,Masculino,1,1.0,1,2,113781,151.55,C22 C26,S,3.0
341,1,2,Masculino,1,2.0,1,1,230080,26.0,F2,S,3.0
349,1,3,Masculino,1,3.0,1,1,C.A. 37671,15.9,Nao identificado,S,3.0
375,0,3,Feminino,2,3.0,3,1,349909,21.08,Nao identificado,S,3.0
382,1,3,Feminino,2,1.0,0,2,2653,15.74,Nao identificado,C,1.0
387,0,3,Masculino,1,1.0,5,2,CA 2144,46.9,Nao identificado,S,3.0
408,1,2,Masculino,1,3.0,1,1,29106,18.75,Nao identificado,S,3.0
446,1,1,Masculino,1,4.0,0,2,33638,81.86,A34,S,3.0
449,1,3,Feminino,2,5.0,2,1,2666,19.26,Nao identificado,C,1.0
470,1,3,Feminino,2,1.0,2,1,2666,19.26,Nao identificado,C,1.0
480,1,3,Feminino,2,2.0,0,1,3101298,12.29,Nao identificado,S,3.0
531,1,2,Feminino,2,2.0,1,1,26360,26.0,Nao identificado,S,3.0
619,1,2,Feminino,2,4.0,2,1,230136,39.0,F4,S,3.0
643,0,3,Feminino,2,2.0,3,2,347088,27.9,Nao identificado,S,3.0
645,1,3,Feminino,2,1.0,2,1,2666,19.26,Nao identificado,C,1.0
692,1,3,Feminino,2,4.0,0,1,349256,13.42,Nao identificado,C,1.0
751,1,2,Feminino,2,4.0,1,1,29103,23.0,Nao identificado,S,3.0
756,1,2,Masculino,1,1.0,1,1,250649,14.5,Nao identificado,S,3.0
778,1,3,Feminino,2,5.0,0,0,364516,12.48,Nao identificado,S,3.0
789,1,3,Masculino,1,1.0,1,2,C.A. 2315,20.58,Nao identificado,S,3.0
804,1,3,Masculino,1,0.0,0,1,2625,8.52,Nao identificado,C,1.0
825,0,3,Masculino,1,2.0,4,1,3101295,39.69,Nao identificado,S,3.0
828,1,2,Masculino,1,1.0,0,2,S.C./PARIS 2079,37.0,Nao identificado,C,1.0
832,1,2,Masculino,1,1.0,1,1,29106,18.75,Nao identificado,S,3.0
851,0,3,Masculino,1,4.0,4,2,347082,31.28,Nao identificado,S,3.0
870,1,3,Masculino,1,4.0,1,1,347742,11.13,Nao identificado,S,3.0
